2016-03-17_09:15:05: ticket with id 9962 has already exists
2016-03-17_09:15:05: The file url is not valid
2016-03-17_09:15:05: ticket with id 9963 has already exists
2016-03-17_09:30:05: ticket with id 9962 has already exists
2016-03-17_09:30:05: The file url is not valid
2016-03-17_09:30:05: ticket with id 9963 has already exists
2016-03-17_09:35:05: ticket with id 9962 has already exists
2016-03-17_09:35:05: The file url is not valid
2016-03-17_09:35:05: ticket with id 9963 has already exists
2016-03-17_09:40:06: ticket with id 9962 has already exists
2016-03-17_09:40:06: The file url is not valid
2016-03-17_09:40:06: ticket with id 9963 has already exists
2016-03-17_09:50:05: ticket with id 9962 has already exists
2016-03-17_09:50:05: The file url is not valid
2016-03-17_09:50:05: ticket with id 9963 has already exists
2016-03-17_09:55:05: ticket with id 9962 has already exists
2016-03-17_09:55:05: The file url is not valid
2016-03-17_09:55:05: ticket with id 9963 has already exists
2016-03-17_10:05:05: ticket with id 9962 has already exists
2016-03-17_10:05:05: The file url is not valid
2016-03-17_10:05:05: ticket with id 9963 has already exists
2016-03-17_10:15:06: ticket with id 9962 has already exists
2016-03-17_10:15:06: The file url is not valid
2016-03-17_10:15:06: ticket with id 9963 has already exists
2016-03-17_10:20:05: ticket with id 9962 has already exists
2016-03-17_10:20:05: The file url is not valid
2016-03-17_10:20:05: ticket with id 9963 has already exists
2016-03-17_10:30:05: ticket with id 9962 has already exists
2016-03-17_10:30:05: The file url is not valid
2016-03-17_10:30:05: ticket with id 9963 has already exists
2016-03-17_10:35:05: ticket with id 9962 has already exists
2016-03-17_10:35:05: The file url is not valid
2016-03-17_10:35:05: ticket with id 9963 has already exists
2016-03-17_10:40:05: ticket with id 9962 has already exists
2016-03-17_10:40:05: The file url is not valid
2016-03-17_10:40:05: ticket with id 9963 has already exists
2016-03-17_10:50:05: ticket with id 9962 has already exists
2016-03-17_10:50:05: The file url is not valid
2016-03-17_10:50:05: ticket with id 9963 has already exists
2016-03-17_11:00:06: ticket with id 9962 has already exists
2016-03-17_11:00:06: The file url is not valid
2016-03-17_11:00:06: ticket with id 9963 has already exists
2016-03-17_11:15:05: ticket with id 9962 has already exists
2016-03-17_11:15:05: The file url is not valid
2016-03-17_11:15:05: ticket with id 9963 has already exists
2016-03-17_11:20:05: ticket with id 9962 has already exists
2016-03-17_11:20:05: The file url is not valid
2016-03-17_11:20:05: ticket with id 9963 has already exists
2016-03-17_11:25:06: ticket with id 9962 has already exists
2016-03-17_11:25:06: The file url is not valid
2016-03-17_11:25:06: ticket with id 9963 has already exists
2016-03-17_11:30:05: ticket with id 9962 has already exists
2016-03-17_11:30:05: The file url is not valid
2016-03-17_11:30:05: ticket with id 9963 has already exists
2016-03-17_11:40:05: ticket with id 9962 has already exists
2016-03-17_11:40:05: The file url is not valid
2016-03-17_11:40:05: ticket with id 9963 has already exists
2016-03-17_11:45:06: ticket with id 9962 has already exists
2016-03-17_11:45:06: The file url is not valid
2016-03-17_11:45:06: ticket with id 9963 has already exists
2016-03-17_11:50:05: ticket with id 9962 has already exists
2016-03-17_11:50:06: The file url is not valid
2016-03-17_11:50:06: ticket with id 9963 has already exists
2016-03-17_11:55:05: ticket with id 9962 has already exists
2016-03-17_11:55:05: The file url is not valid
2016-03-17_11:55:05: ticket with id 9963 has already exists
